Author Name,Post Date,Post Link,Other Hashtags,Repost Count,Impression Count,Like Count
おいもパイちゃん🍠🥧,2025-11-19 23:54:25,https://x.com/oimopiechan/status/1991294018945445994,"#PR, #逆水寒",4,2376,24
先斗なるみ💋🐾໊ VTuber,2025-11-19 23:24:21,https://x.com/narumi_ponto/status/1991286451594752445,"#逆水寒, #PR",1,230,9
そらねなご＠男の娘Vtuber,2025-11-19 22:21:51,https://x.com/sorane_nago/status/1991270723818778910,"#逆水寒, #PR",9,1301,20
＊Erena＊,2025-11-19 20:43:26,https://x.com/Erena_mh4g/status/1991245956268917149,"#時雨ミト, #逆水寒",0,88,1
望心詩,2025-11-19 18:11:01,https://x.com/mikoshi24/status/1991207600915116238,"#逆水寒, #PR",4,355,11
坂上田村麻呂,2025-11-19 17:32:50,https://x.com/tamuramaro_758/status/1991197990640640480,"#時雨ミト, #逆水寒",0,195,8
夢見エルノ💟💭,2025-11-19 16:58:10,https://x.com/yumemi_eruno/status/1991189266227970505,"#PR, #逆水寒",2,294,8
古都山しゆら🌸👘,2025-11-19 16:36:10,https://x.com/k_shiyura/status/1991183732871721408,"#PR, #逆水寒",3,191,7
神凪てと🎭🎨宅録声優Vtuber,2025-11-19 14:56:00,https://x.com/tetorateto17/status/1991158522105745863,"#逆水寒, #PR",5,481,22
冬陽リッカ❄✒,2025-11-19 14:50:41,https://x.com/fuyuno_hidamari/status/1991157184323875146,"#PR, #逆水寒",2,318,10
夢川ゆに🦄🍬,2025-11-19 14:50:00,https://x.com/Yuni_Yumekawa/status/1991157012714168580,"#PR, #逆水寒",1,667,5
店長 -萌水 団-🩵💴 VTuber!!,2025-11-19 14:49:23,https://x.com/dantencho/status/1991156859341066700,"#PR, #逆水寒",3,376,20
愛酒あるち🍻🎮お酒すきVtuber/ポケモンユナイト,2025-11-19 14:48:57,https://x.com/alchixx/status/1991156746950189422,"#PR, #逆水寒",0,304,12
柚月レイ🌙⚔,2025-11-19 14:41:13,https://x.com/rei_yuduki/status/1991154803683012643,"#PR, #逆水寒",2,429,9
望心詩,2025-11-19 14:40:22,https://x.com/mikoshi24/status/1991154588519404018,"#逆水寒, #PR",2,240,7
戌杜リアン🐾🏡 VTuber,2025-11-19 14:22:21,https://x.com/Lian_Inumori/status/1991150056536154620,"#逆水寒, #PR",3,388,5
羽舞クラリス🎮🕊,2025-11-19 14:16:01,https://x.com/claris_hanemai/status/1991148459357876552,"#逆水寒, #クラリス逆水寒日記",1,390,3
いか☂️🍖,2025-11-19 14:09:19,https://x.com/m9oFqP4xEbHaV0k/status/1991146773071683738,"#時雨ミト, #生肉配信",0,313,1
黒須ソフィア/Sophia Cross✡️♐️ CF実施中！現在8%💙,2025-11-19 14:08:06,https://x.com/cross_sophia_/status/1991146470209376740,"#逆水寒, #PR",3,454,28
